PK,SK,DESCRIPTION
BLACKLIST_URL,http://att.rxclw.cc/pay/,OpenPhish
BLACKLIST_URL,https://conbaseprolo_genusa.godaddysites.com/,OpenPhish
BLACKLIST_URL,https://www.conbaseprolo_genusa.godaddysites.com/,OpenPhish
BLACKLIST_URL,http://clecioautosocorro.com.br/ioh/,OpenPhish
BLACKLIST_URL,https://supportldtsm-inc.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://cmonline-klantportaal.com/,OpenPhish
BLACKLIST_URL,http://myfind-phone.help/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://shivansh-singh1.github.io/Netfilx-Clone,OpenPhish
BLACKLIST_URL,https://bill-support.xcsknqw.com/signin?9d0c4d0781f1ffae52137e0836bef759,OpenPhish
BLACKLIST_URL,https://bill-support.xcsknqw.com/?cuans,OpenPhish
BLACKLIST_URL,https://adityaxd11-cell.github.io/amazon-clone,OpenPhish
BLACKLIST_URL,https://meir123piskerov.github.io/amazon-exe,OpenPhish
BLACKLIST_URL,https://office078.github.io/DEMAND-SUMMON-OVERDUE-AMOUNT/SARS%20SUMMON%20LETTER%20OVERDUE%20AMOUNT,OpenPhish
BLACKLIST_URL,http://t-mobile.gditj.cc/pay/,OpenPhish
BLACKLIST_URL,http://ce634606.tw1.ru/AGRI007/,OpenPhish
BLACKLIST_URL,https://maliciousnethunter.github.io/instagram,OpenPhish
BLACKLIST_URL,http://t-mobile.kmaox.cc/pay/,OpenPhish
BLACKLIST_URL,http://t-mobile.icrpe.cc/pay/,OpenPhish
BLACKLIST_URL,https://aktiffkan-paylater.fuxq.my.id/,OpenPhish
BLACKLIST_URL,http://t-mobile.wjiua.cc/pay/,OpenPhish
BLACKLIST_URL,https://4h0pbdpl.gfiwpu3459btgoeiprubnvoey458r.workers.dev/,OpenPhish
BLACKLIST_URL,http://att.jowve.cc/pay/,OpenPhish
BLACKLIST_URL,https://att.rgpxb.cc/pay,OpenPhish
BLACKLIST_URL,https://myjunoupdatelink.framer.website/,OpenPhish
BLACKLIST_URL,https://awal.biz.id/,OpenPhish
BLACKLIST_URL,https://att.czkbh.cc/pay,OpenPhish
BLACKLIST_URL,https://gaurav6teen.github.io/Amazon-clone,OpenPhish
BLACKLIST_URL,https://www.ledgerqfsconnect.com/,OpenPhish
BLACKLIST_URL,http://www.dftrskrngbr2.com/,OpenPhish
BLACKLIST_URL,https://gemini.gzcrtw.com/,OpenPhish
BLACKLIST_URL,https://httpss-roblox.co/users/1323157586/profile,OpenPhish
BLACKLIST_URL,http://brndnsia.com/,OpenPhish
BLACKLIST_URL,http://t-mobile.blhdm.cc/pay/,OpenPhish
BLACKLIST_URL,http://www.tsor.info/,OpenPhish
BLACKLIST_URL,http://ip-located.help/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,http://info-resmi449.blogspot.com/?m=1,OpenPhish
BLACKLIST_URL,https://located-lphoness.help/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://support-dispositivo.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,http://dispositivo-lcloudd.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://darb.qmobtrily.info/gPwIhYlx,OpenPhish
BLACKLIST_URL,https://xiaomld-loclds.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://dispositivo-soport.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,http://ubicar-iphonegps.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://findlostmy-mxn.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://blockmydeviceweb.help/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,http://buscando-miphone.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://1ngres0pichinch.webcindario.com/,OpenPhish
BLACKLIST_URL,https://extratudomeucar.com/inicio?cartoes=home&id=NDkxMmIyNzE0Zjg1ZTZ,OpenPhish
BLACKLIST_URL,https://gem.kumac.top/,OpenPhish
BLACKLIST_URL,https://mygeminibalance.zeabur.app/,OpenPhish
BLACKLIST_URL,https://g.150160.xyz/,OpenPhish
BLACKLIST_URL,https://gemini-balance-test.zeabur.app/,OpenPhish
BLACKLIST_URL,https://ai.xgboke.top/,OpenPhish
BLACKLIST_URL,https://yuganshjoshi.github.io/web-dev-landingpage/,OpenPhish
BLACKLIST_URL,https://wbmh55.top/h5/,OpenPhish
BLACKLIST_URL,https://mytechtool.geminix.top/,OpenPhish
BLACKLIST_URL,https://wbmh55.top/,OpenPhish
BLACKLIST_URL,https://servicio-live-msn.replit.app/,OpenPhish
BLACKLIST_URL,https://portal-eng-ndax-io-cdn-auth.webflow.io/,OpenPhish
BLACKLIST_URL,https://westernunionsf.ricohtrac.com/,OpenPhish
BLACKLIST_URL,https://www.robiox.com.py/users/315008694661/profile,OpenPhish
BLACKLIST_URL,https://gemini-balance.krismile.vip/,OpenPhish
BLACKLIST_URL,https://google.recover.cybersecure11.com/,OpenPhish
BLACKLIST_URL,https://gemini.wenyuehui88.top/,OpenPhish
BLACKLIST_URL,https://longmao.110407.xyz/,OpenPhish
BLACKLIST_URL,https://cyfree0.ggff.net/,OpenPhish
BLACKLIST_URL,https://login-or-sign-up.netlify.app/,OpenPhish
BLACKLIST_URL,https://ttbgb.zeabur.app/,OpenPhish
BLACKLIST_URL,https://haris-al-hanafi.github.io/Netflix-Clone,OpenPhish
BLACKLIST_URL,https://aulas.cursodeatabaque.com.br/wp-includes/css/wam.exe/wells,OpenPhish
BLACKLIST_URL,https://att.pfund.icu/pay,OpenPhish
BLACKLIST_URL,https://att.igrum.icu/pay,OpenPhish
BLACKLIST_URL,https://att.lydsu.icu/pay,OpenPhish
BLACKLIST_URL,http://www.cipamazonas.org.pe/.well-known/pki-validation/VR/Login.html,OpenPhish
BLACKLIST_URL,http://mail.cipamazonas.org.pe/.well-known/pki-validation/VR/Login.html,OpenPhish
